voting_id,total_favor,total_contra,total_absent,is_approved
47398,120,5,35,True
47399,119,6,35,True
47400,91,31,38,True
47401,85,39,36,True
47403,130,1,29,True
47404,65,62,33,True
47406,62,57,41,True
47408,93,3,64,True
47429,98,40,22,True
47431,91,51,18,True
47433,70,66,24,True
47436,130,7,23,True
47437,130,7,23,True
47438,122,12,26,True
47439,111,23,26,True
47440,120,14,26,True
47441,123,11,26,True
47442,120,12,28,True
47468,50,17,93,True
47470,66,12,82,True
47483,64,70,26,False
47486,84,54,22,True
47487,70,68,22,True
47488,75,64,21,True
47489,131,6,23,True
47491,66,71,23,False
47492,83,55,22,True
47493,138,1,21,True
47494,122,12,26,True
47495,95,33,32,True
47496,64,12,84,True
47498,66,12,82,True
47500,129,3,28,True
47501,132,0,28,True
47502,71,66,23,True
47530,55,17,88,True
47532,59,16,85,True
47540,28,16,116,True
47542,30,14,116,True
47544,63,17,80,True
47547,81,17,62,True
47548,90,7,63,True
47549,91,5,64,True
47551,84,12,64,True
47552,83,12,65,True
47553,49,43,68,True
47555,85,6,69,True
47556,84,7,69,True
47557,48,42,70,True
47559,82,9,69,True
47560,82,9,69,True
47561,82,8,70,True
47562,84,7,69,True
47563,65,24,71,True
47565,82,7,71,True
47566,25,65,70,False
47568,83,5,72,True
47569,83,6,71,True
47570,85,5,70,True
47571,86,6,68,True
47572,82,8,70,True
47573,83,6,71,True
47574,83,5,72,True
47575,31,13,116,True
47579,47,6,107,True
47581,50,3,107,True
47587,65,13,82,True
47590,83,20,57,True
47591,18,57,85,False
47593,81,29,50,True
47597,81,22,57,True
47598,88,6,66,True
47599,86,13,61,True
47600,83,14,63,True
47601,108,3,49,True
47602,108,3,49,True
47603,108,4,48,True
47604,100,11,49,True
47606,98,13,49,True
47607,108,4,48,True
47608,105,7,48,True
47609,109,4,47,True
47610,79,17,64,True
47612,46,17,97,True
47614,42,22,96,True
47616,26,37,97,False
47619,117,9,34,True
47620,121,5,34,True
47621,91,33,36,True
47622,102,21,37,True
47623,102,20,38,True
47624,101,21,38,True
47626,102,20,38,True
47627,101,22,37,True
47628,102,18,40,True
47629,98,24,38,True
47630,95,38,27,True
47636,38,96,26,False
47638,95,39,26,True
47639,60,52,48,True
47640,76,50,34,True
47641,104,13,43,True
47642,74,50,36,True
47643,76,49,35,True
47644,49,82,29,False
47645,115,19,26,True
47646,76,17,67,True
47649,68,8,84,True
47651,70,6,84,True
47653,54,38,68,True
47657,87,3,70,True
47660,129,6,25,True
47662,131,9,20,True
47663,116,26,18,True
47664,51,91,18,False
47665,44,97,19,False
47666,113,27,20,True
47668,105,34,21,True
47669,57,59,44,False
47673,91,30,39,True
47675,93,13,54,True
47676,109,16,35,True
47677,110,19,31,True
47678,109,18,33,True
47679,104,16,40,True
47680,110,20,30,True
47681,108,22,30,True
47682,108,22,30,True
47684,107,25,28,True
47685,103,20,37,True
47686,108,24,28,True
47687,107,23,30,True
47688,108,22,30,True
47689,107,23,30,True
47690,109,22,29,True
47691,107,24,29,True
47693,107,24,29,True
47695,107,24,29,True
47696,109,24,27,True
47697,108,25,27,True
47698,107,27,26,True
47699,108,27,25,True
47700,108,27,25,True
47701,108,27,25,True
47702,109,26,25,True
47703,111,23,26,True
47704,110,22,28,True
47705,108,24,28,True
47706,107,24,29,True
47707,108,23,29,True
47708,108,26,26,True
47709,109,25,26,True
47710,108,27,25,True
47714,108,23,29,True
47715,107,24,29,True
47716,13,119,28,False
47718,16,119,25,False
47719,19,116,25,False
47720,99,36,25,True
47721,2,132,26,False
47723,58,19,83,True
47725,56,24,80,True
47727,119,1,40,True
47728,116,1,43,True
47729,109,5,46,True
47730,36,97,27,False
47731,80,33,47,True
47732,104,2,54,True
47733,59,50,51,True
47734,43,67,50,False
47735,92,3,65,True
47736,87,9,64,True
47738,84,12,64,True
47740,83,16,61,True
47743,66,12,82,True
47746,81,9,70,True
47748,113,21,26,True
47750,103,34,23,True
47751,108,29,23,True
47752,102,35,23,True
47753,108,29,23,True
47754,109,26,25,True
47755,107,28,25,True
47756,107,28,25,True
47757,108,27,25,True
47758,107,26,27,True
47759,108,25,27,True
47760,107,26,27,True
47761,107,23,30,True
47762,110,21,29,True
47763,111,21,28,True
47764,108,24,28,True
47766,107,25,28,True
47767,109,23,28,True
47768,107,25,28,True
47770,96,42,22,True
47771,96,34,30,True
47772,101,30,29,True
47773,114,17,29,True
47774,43,21,96,True
47776,45,24,91,True
47778,52,12,96,True
47780,60,16,84,True
47782,24,86,50,False
47783,61,46,53,True
47784,44,27,89,True
47785,37,35,88,True
47787,61,65,34,False
47792,23,99,38,False
47794,88,13,59,True
47795,79,43,38,True
47797,117,11,32,True
47801,121,8,31,True
47802,117,12,31,True
47803,121,11,28,True
47804,120,14,26,True
47805,114,17,29,True
47806,124,7,29,True
47807,120,11,29,True
47810,129,3,28,True
47811,120,11,29,True
47812,113,20,27,True
47813,126,4,30,True
47814,125,7,28,True
47818,115,12,33,True
47819,91,17,52,True
47820,89,16,55,True
47822,81,12,67,True
47824,82,14,64,True
47825,52,13,95,True
47827,55,15,90,True
47830,54,47,59,True
47831,95,4,61,True
47832,92,10,58,True
47833,94,9,57,True
47834,91,12,57,True
47835,91,13,56,True
47836,101,5,54,True
47837,98,8,54,True
47838,96,10,54,True
47839,93,13,54,True
47840,96,10,54,True
47841,102,3,55,True
47842,93,13,54,True
47843,86,5,69,True
47844,89,4,67,True
47845,87,6,67,True
47847,86,7,67,True
47848,88,5,67,True
47849,84,9,67,True
47850,88,5,67,True
47862,50,14,96,True
