voting_id,congressman_id,vote_type,attendance_status,session_id,period,with_majority
46869,2,0,0,41168,2024,0
46869,956,0,0,41168,2024,0
46869,851,0,0,41168,2024,0
46869,948,0,0,41168,2024,0
46869,772,0,0,41168,2024,0
46869,907,0,0,41168,2024,0
46869,972,0,0,41168,2024,0
46869,11,0,0,41168,2024,0
46869,918,0,0,41168,2024,0
46869,969,0,0,41168,2024,0
46869,894,0,0,41168,2024,0
46869,915,0,0,41168,2024,0
46869,18,0,0,41168,2024,0
46869,891,0,0,41168,2024,0
46869,900,0,0,41168,2024,0
46869,973,0,0,41168,2024,0
46869,908,0,0,41168,2024,0
46869,774,0,0,41168,2024,0
46869,791,0,0,41168,2024,0
46869,905,0,0,41168,2024,0
46869,934,0,0,41168,2024,0
46869,831,0,0,41168,2024,0
46869,30,0,0,41168,2024,0
46869,787,0,0,41168,2024,0
46869,842,0,0,41168,2024,0
46869,31,0,0,41168,2024,0
46869,939,0,0,41168,2024,0
46869,899,0,0,41168,2024,0
46869,965,0,0,41168,2024,0
46869,962,0,0,41168,2024,0
46869,776,0,0,41168,2024,0
46869,883,0,0,41168,2024,0
46869,961,0,0,41168,2024,0
46869,888,0,0,41168,2024,0
46869,885,0,0,41168,2024,0
46869,39,0,0,41168,2024,0
46869,41,0,0,41168,2024,0
46869,826,0,0,41168,2024,0
46869,889,0,0,41168,2024,0
46869,906,0,0,41168,2024,0
46869,950,0,0,41168,2024,0
46869,944,0,0,41168,2024,0
46869,970,0,0,41168,2024,0
46869,777,0,0,41168,2024,0
46869,933,0,0,41168,2024,0
46869,940,0,0,41168,2024,0
46869,818,0,0,41168,2024,0
46869,963,0,0,41168,2024,0
46869,884,0,0,41168,2024,0
46869,941,0,0,41168,2024,0
46869,926,0,0,41168,2024,0
46869,54,0,0,41168,2024,0
46869,796,0,0,41168,2024,0
46869,61,0,0,41168,2024,0
46869,819,0,0,41168,2024,0
46869,920,0,0,41168,2024,0
46869,870,0,0,41168,2024,0
46869,788,0,0,41168,2024,0
46869,65,0,0,41168,2024,0
46869,909,0,0,41168,2024,0
46869,971,0,0,41168,2024,0
46869,904,0,0,41168,2024,0
46869,935,0,0,41168,2024,0
46869,861,0,0,41168,2024,0
46869,902,0,0,41168,2024,0
46869,78,0,0,41168,2024,0
46869,910,0,0,41168,2024,0
46869,949,0,0,41168,2024,0
46869,892,0,0,41168,2024,0
46869,898,0,0,41168,2024,0
46869,86,0,0,41168,2024,0
46869,780,0,0,41168,2024,0
46869,881,0,0,41168,2024,0
46869,247,0,0,41168,2024,0
46869,942,0,0,41168,2024,0
46869,789,0,0,41168,2024,0
46869,976,0,0,41168,2024,0
46869,92,0,0,41168,2024,0
46869,801,0,0,41168,2024,0
46869,93,0,0,41168,2024,0
46869,911,0,0,41168,2024,0
46869,967,0,0,41168,2024,0
46869,802,0,0,41168,2024,0
46869,95,0,0,41168,2024,0
46869,895,0,0,41168,2024,0
46869,179,0,0,41168,2024,0
46869,917,0,0,41168,2024,0
46869,964,0,0,41168,2024,0
46869,793,0,0,41168,2024,0
46869,99,0,0,41168,2024,0
46869,921,0,0,41168,2024,0
46869,781,0,0,41168,2024,0
46869,100,0,0,41168,2024,0
46869,845,0,0,41168,2024,0
46869,903,0,0,41168,2024,0
46869,896,0,0,41168,2024,0
46869,782,0,0,41168,2024,0
46869,893,0,0,41168,2024,0
46869,936,0,0,41168,2024,0
46869,886,0,0,41168,2024,0
46869,959,0,0,41168,2024,0
46869,828,0,0,41168,2024,0
46869,897,0,0,41168,2024,0
46869,806,0,0,41168,2024,0
46869,937,0,0,41168,2024,0
46869,912,0,0,41168,2024,0
46869,938,0,0,41168,2024,0
46869,790,0,0,41168,2024,0
46869,923,0,0,41168,2024,0
46869,953,0,0,41168,2024,0
46869,919,0,0,41168,2024,0
46869,160,0,0,41168,2024,0
46869,932,0,0,41168,2024,0
46869,117,0,0,41168,2024,0
46869,834,0,0,41168,2024,0
46869,951,0,0,41168,2024,0
46869,945,0,0,41168,2024,0
46869,946,0,0,41168,2024,0
46869,974,0,0,41168,2024,0
46869,122,0,0,41168,2024,0
46869,864,0,0,41168,2024,0
46869,809,0,0,41168,2024,0
46869,957,0,0,41168,2024,0
46869,922,0,0,41168,2024,0
46869,126,0,0,41168,2024,0
46869,925,0,0,41168,2024,0
46869,128,0,0,41168,2024,0
46869,127,0,0,41168,2024,0
46869,913,0,0,41168,2024,0
46869,811,0,0,41168,2024,0
46869,857,0,0,41168,2024,0
46869,890,0,0,41168,2024,0
46869,785,0,0,41168,2024,0
46869,901,0,0,41168,2024,0
46869,931,0,0,41168,2024,0
46869,952,0,0,41168,2024,0
46869,966,0,0,41168,2024,0
46869,770,0,0,41168,2024,0
46869,130,0,0,41168,2024,0
46869,874,0,0,41168,2024,0
46869,924,0,0,41168,2024,0
46869,822,0,0,41168,2024,0
46869,135,0,0,41168,2024,0
46869,914,0,0,41168,2024,0
46869,958,0,0,41168,2024,0
46869,875,0,0,41168,2024,0
46869,955,0,0,41168,2024,0
46869,887,0,0,41168,2024,0
46869,960,0,0,41168,2024,0
46869,954,0,0,41168,2024,0
46869,947,0,0,41168,2024,0
46869,829,0,0,41168,2024,0
46869,154,0,0,41168,2024,0
46869,928,0,0,41168,2024,0
46869,155,0,0,41168,2024,0
46869,927,0,0,41168,2024,0
46871,840,0,0,41168,2024,1
46871,943,0,0,41168,2024,1
46871,2,0,0,41168,2024,1
46871,956,0,0,41168,2024,1
46871,972,0,0,41168,2024,1
46871,11,0,0,41168,2024,1
46871,918,0,0,41168,2024,1
46871,900,0,0,41168,2024,1
46871,973,0,0,41168,2024,1
46871,774,0,0,41168,2024,1
46871,787,0,0,41168,2024,1
46871,939,0,0,41168,2024,1
46871,965,0,0,41168,2024,1
46871,962,0,0,41168,2024,1
46871,776,0,0,41168,2024,1
46871,961,0,0,41168,2024,1
46871,888,0,0,41168,2024,1
46871,944,0,0,41168,2024,1
46871,777,0,0,41168,2024,1
46871,933,0,0,41168,2024,1
46871,940,0,0,41168,2024,1
46871,818,0,0,41168,2024,1
46871,884,0,0,41168,2024,1
46871,941,0,0,41168,2024,1
46871,54,0,0,41168,2024,1
46871,870,0,0,41168,2024,1
46871,788,0,0,41168,2024,1
46871,65,0,0,41168,2024,1
46871,904,0,0,41168,2024,1
46871,78,0,0,41168,2024,1
46871,949,0,0,41168,2024,1
46871,898,0,0,41168,2024,1
46871,780,0,0,41168,2024,1
46871,881,0,0,41168,2024,1
46871,789,0,0,41168,2024,1
46871,976,0,0,41168,2024,1
46871,92,0,0,41168,2024,1
46871,93,0,0,41168,2024,1
46871,967,0,0,41168,2024,1
46871,179,0,0,41168,2024,1
46871,964,0,0,41168,2024,1
46871,793,0,0,41168,2024,1
46871,99,0,0,41168,2024,1
46871,921,0,0,41168,2024,1
46871,781,0,0,41168,2024,1
46871,100,0,0,41168,2024,1
46871,782,0,0,41168,2024,1
46871,790,0,0,41168,2024,1
46871,953,0,0,41168,2024,1
46871,919,0,0,41168,2024,1
46871,932,0,0,41168,2024,1
46871,117,0,0,41168,2024,1
46871,945,0,0,41168,2024,1
46871,946,0,0,41168,2024,1
46871,974,0,0,41168,2024,1
46871,122,0,0,41168,2024,1
46871,957,0,0,41168,2024,1
46871,126,0,0,41168,2024,1
46871,127,0,0,41168,2024,1
46871,811,0,0,41168,2024,1
46871,785,0,0,41168,2024,1
46871,901,0,0,41168,2024,1
46871,952,0,0,41168,2024,1
46871,966,0,0,41168,2024,1
46871,770,0,0,41168,2024,1
46871,130,0,0,41168,2024,1
46871,874,0,0,41168,2024,1
46871,924,0,0,41168,2024,1
46871,822,0,0,41168,2024,1
46871,958,0,0,41168,2024,1
46871,955,0,0,41168,2024,1
46871,887,0,0,41168,2024,1
46871,954,0,0,41168,2024,1
46871,947,0,0,41168,2024,1
46871,927,0,0,41168,2024,1
46871,929,1,0,41168,2024,0
46871,851,1,0,41168,2024,0
46871,948,1,0,41168,2024,0
46871,772,1,0,41168,2024,0
46871,907,1,0,41168,2024,0
46871,969,1,0,41168,2024,0
46871,894,1,0,41168,2024,0
46871,915,1,0,41168,2024,0
46871,18,1,0,41168,2024,0
46871,891,1,0,41168,2024,0
46871,908,1,0,41168,2024,0
46871,791,1,0,41168,2024,0
46871,905,1,0,41168,2024,0
46871,934,1,0,41168,2024,0
46871,831,1,0,41168,2024,0
46871,30,1,0,41168,2024,0
46871,842,1,0,41168,2024,0
46871,31,1,0,41168,2024,0
46871,899,1,0,41168,2024,0
46871,883,1,0,41168,2024,0
46871,885,1,0,41168,2024,0
46871,39,1,0,41168,2024,0
46871,41,1,0,41168,2024,0
46871,826,1,0,41168,2024,0
46871,889,1,0,41168,2024,0
46871,906,1,0,41168,2024,0
46871,950,1,0,41168,2024,0
46871,970,1,0,41168,2024,0
46871,963,1,0,41168,2024,0
46871,926,1,0,41168,2024,0
46871,796,1,0,41168,2024,0
46871,61,1,0,41168,2024,0
46871,819,1,0,41168,2024,0
46871,920,1,0,41168,2024,0
46871,909,1,0,41168,2024,0
46871,971,1,0,41168,2024,0
46871,935,1,0,41168,2024,0
46871,861,1,0,41168,2024,0
46871,902,1,0,41168,2024,0
46871,910,1,0,41168,2024,0
46871,892,1,0,41168,2024,0
46871,86,1,0,41168,2024,0
46871,247,1,0,41168,2024,0
46871,942,1,0,41168,2024,0
46871,801,1,0,41168,2024,0
46871,911,1,0,41168,2024,0
46871,802,1,0,41168,2024,0
46871,95,1,0,41168,2024,0
46871,895,1,0,41168,2024,0
46871,917,1,0,41168,2024,0
46871,845,1,0,41168,2024,0
46871,903,1,0,41168,2024,0
46871,896,1,0,41168,2024,0
46871,893,1,0,41168,2024,0
46871,936,1,0,41168,2024,0
46871,886,1,0,41168,2024,0
46871,959,1,0,41168,2024,0
46871,828,1,0,41168,2024,0
46871,897,1,0,41168,2024,0
46871,806,1,0,41168,2024,0
46871,937,1,0,41168,2024,0
