session_id,congressman_id,status
41168,929,0
41168,840,0
41168,943,0
41168,2,0
41168,956,0
41168,851,0
41168,948,0
41168,772,0
41168,907,0
41168,972,0
41168,11,0
41168,918,0
41168,969,0
41168,894,0
41168,915,0
41168,18,0
41168,891,0
41168,900,0
41168,973,0
41168,908,0
41168,774,0
41168,791,0
41168,905,0
41168,934,0
41168,831,0
41168,30,0
41168,787,0
41168,842,0
41168,31,0
41168,939,0
41168,899,0
41168,965,0
41168,962,0
41168,776,0
41168,883,0
41168,961,0
41168,888,0
41168,885,0
41168,39,0
41168,41,0
41168,826,0
41168,889,0
41168,906,0
41168,950,0
41168,944,0
41168,970,0
41168,777,0
41168,940,0
41168,933,0
41168,818,0
41168,963,0
41168,884,0
41168,941,0
41168,926,0
41168,54,0
41168,930,0
41168,796,0
41168,61,0
41168,819,0
41168,920,0
41168,870,0
41168,788,0
41168,65,0
41168,909,0
41168,971,0
41168,904,0
41168,935,0
41168,861,0
41168,902,0
41168,78,0
41168,910,0
41168,949,0
41168,892,0
41168,898,0
41168,86,0
41168,780,0
41168,881,0
41168,247,0
41168,942,0
41168,789,0
41168,976,0
41168,92,0
41168,801,0
41168,93,0
41168,911,0
41168,967,0
41168,802,0
41168,95,0
41168,895,0
41168,179,0
41168,917,0
41168,964,0
41168,793,0
41168,99,0
41168,921,0
41168,781,0
41168,100,0
41168,845,0
41168,903,0
41168,896,0
41168,782,0
41168,893,0
41168,936,0
41168,886,0
41168,959,0
41168,828,0
41168,897,0
41168,806,0
41168,937,0
41168,912,0
41168,938,0
41168,790,0
41168,923,0
41168,953,0
41168,919,0
41168,160,0
41168,932,0
41168,117,0
41168,834,0
41168,951,0
41168,945,0
41168,946,0
41168,974,0
41168,122,0
41168,864,0
41168,809,0
41168,957,0
41168,922,0
41168,126,0
41168,925,0
41168,127,0
41168,128,0
41168,913,0
41168,811,0
41168,857,0
41168,890,0
41168,785,0
41168,901,0
41168,931,0
41168,952,0
41168,770,0
41168,966,0
41168,130,0
41168,874,0
41168,924,0
41168,822,0
41168,135,0
41168,914,0
41168,958,0
41168,875,0
41168,955,0
41168,887,0
41168,960,0
41168,954,0
41168,947,0
41168,829,0
41168,154,0
41168,928,0
41168,155,0
41168,927,0
41169,929,0
41169,840,0
41169,943,0
41169,2,2
41169,956,0
41169,851,0
41169,948,0
41169,772,0
41169,907,0
41169,972,0
41169,11,0
41169,918,0
41169,969,0
41169,894,0
41169,915,0
41169,18,0
41169,891,0
41169,900,0
41169,973,0
41169,908,0
41169,774,0
41169,791,0
41169,905,0
41169,934,0
41169,831,0
41169,30,0
41169,787,0
41169,842,0
41169,31,0
41169,939,0
41169,899,0
41169,965,0
41169,962,0
41169,776,0
41169,883,0
41169,961,2
41169,888,0
41169,885,0
41169,39,0
41169,41,0
41169,826,0
41169,889,0
41169,906,0
41169,950,0
41169,944,0
41169,970,0
41169,777,0
41169,940,0
41169,933,0
41169,818,0
41169,963,0
41169,884,0
41169,941,0
41169,926,0
41169,54,0
41169,930,0
41169,796,0
41169,61,0
41169,819,0
41169,920,0
41169,870,2
41169,788,0
41169,65,2
41169,909,0
41169,971,0
41169,904,0
41169,935,0
41169,861,0
41169,902,0
41169,78,0
41169,910,0
41169,949,0
41169,892,0
41169,898,0
41169,86,0
41169,780,0
41169,881,0
41169,247,0
41169,942,0
41169,789,0
41169,976,0
41169,92,0
41169,801,0
41169,93,0
41169,911,0
41169,967,0
41169,802,0
41169,95,0
41169,895,0
41169,179,0
41169,917,0
41169,964,0
41169,793,0
41169,99,0
41169,921,0
41169,781,0
41169,100,0
41169,845,0
41169,903,0
41169,896,0
41169,782,0
41169,893,0
41169,936,0
41169,886,0
41169,959,0
41169,828,0
41169,897,0
41169,806,0
41169,937,0
41169,912,0
41169,938,0
41169,790,0
41169,923,0
41169,953,0
41169,919,0
41169,160,0
41169,932,0
41169,117,0
41169,834,0
41169,951,0
41169,945,0
41169,946,0
41169,974,0
41169,122,0
41169,864,0
41169,809,0
41169,957,0
41169,922,0
41169,126,0
41169,925,0
41169,127,0
41169,128,0
41169,913,0
41169,811,0
41169,857,0
41169,890,0
41169,785,0
41169,901,0
41169,931,0
41169,952,2
41169,770,0
41169,966,0
41169,130,0
41169,874,0
41169,924,0
41169,822,0
41169,135,0
41169,914,2
41169,958,0
41169,875,0
41169,955,0
41169,887,0
41169,960,0
41169,954,0
41169,947,0
41169,829,0
41169,154,0
41169,928,0
41169,155,0
41169,977,0
41169,927,0
41170,929,0
41170,840,0
41170,943,0
41170,2,0
41170,956,0
41170,851,0
41170,948,0
41170,772,0
41170,907,0
41170,972,0
41170,11,0
41170,918,0
41170,969,0
41170,894,0
41170,915,1
41170,18,1
41170,891,0
41170,900,0
41170,973,0
41170,908,0
41170,774,1
41170,791,1
41170,905,0
41170,934,0
41170,831,0
41170,30,1
41170,787,0
41170,842,0
41170,31,0
41170,939,1
41170,899,0
41170,965,0
41170,962,0
41170,776,0
41170,883,0
41170,961,0
41170,888,0
41170,885,0
41170,39,0
41170,41,1
41170,826,0
41170,889,0
41170,906,0
41170,950,0
41170,944,0
41170,970,0
41170,777,0
41170,940,0
41170,933,0
41170,818,1
41170,963,0
41170,884,0
41170,941,2
41170,926,0
41170,54,2
41170,930,0
41170,796,1
41170,61,1
41170,819,0
41170,920,1
41170,870,2
41170,788,2
41170,65,0
41170,909,0
41170,971,1
41170,904,0
41170,935,0
41170,861,0
41170,902,0
41170,78,0
41170,910,0
41170,949,1
41170,892,2
41170,898,0
41170,86,1
41170,780,0
41170,881,1
41170,247,0
41170,942,1
41170,789,0
41170,976,0
41170,92,0
41170,801,1
41170,93,0
41170,911,0
41170,967,0
41170,802,1
41170,95,1
41170,895,0
41170,179,0
41170,917,1
41170,964,0
41170,793,0
41170,99,0
41170,921,0
41170,781,1
41170,100,1
41170,845,1
41170,903,1
41170,896,0
41170,782,0
41170,893,0
41170,886,0
41170,959,0
41170,828,0
41170,897,0
41170,806,1
41170,937,0
41170,912,0
41170,938,0
41170,790,0
41170,923,0
41170,953,1
41170,919,0
41170,160,0
41170,932,0
41170,117,0
41170,834,0
41170,951,0
41170,945,0
41170,946,0
41170,974,0
41170,122,0
41170,864,1
41170,809,1
41170,957,0
41170,922,1
41170,126,0
41170,925,0
41170,127,0
41170,128,0
41170,913,0
41170,811,0
41170,857,1
41170,890,1
41170,785,2
41170,901,0
41170,931,2
41170,952,0
41170,770,0
41170,966,0
41170,130,2
41170,874,0
41170,924,0
41170,822,0
41170,135,0
41170,914,1
41170,958,0
41170,875,0
41170,955,0
41170,887,0
41170,960,0
41170,954,0
41170,947,0
41170,829,0
41170,154,0
41170,928,0
41170,155,0
41170,977,0
41170,927,0
41171,929,0
41171,840,0
41171,943,0
41171,2,0
41171,956,0
41171,851,0
41171,948,0
41171,772,0
41171,907,0
41171,972,0
41171,11,0
41171,918,0
41171,969,0
41171,894,0
41171,915,0
41171,18,0
41171,891,0
41171,900,0
41171,973,0
41171,908,0
41171,774,1
41171,791,0
41171,905,0
41171,934,0
41171,831,0
41171,30,0
41171,787,0
41171,842,0
41171,31,0
41171,939,0
41171,899,0
41171,965,0
41171,962,0
41171,776,0
41171,883,0
41171,961,0
41171,888,0
41171,885,0
41171,39,0
41171,41,0
41171,826,0
41171,889,0
41171,906,0
41171,950,0
41171,944,0
41171,970,0
41171,777,0
41171,940,0
41171,933,0
41171,818,0
41171,963,0
41171,884,0
41171,941,2
41171,926,0
41171,54,2
41171,930,0
41171,796,0
41171,61,0
41171,819,0
41171,920,0
41171,870,2
41171,788,0
41171,65,0
41171,909,0
41171,971,0
41171,904,0
41171,935,0
41171,861,0
41171,902,0
41171,78,0
41171,910,0
41171,949,0
41171,892,2
41171,898,0
41171,86,0
41171,780,0
41171,881,0
41171,247,0
41171,942,0
41171,789,0
41171,976,0
41171,92,0
41171,801,0
41171,93,0
41171,911,0
41171,967,0
41171,802,0
41171,95,0
41171,895,0
41171,179,0
41171,917,0
41171,964,0
41171,793,0
41171,99,0
41171,921,0
41171,781,2
41171,100,0
41171,845,0
41171,903,0
41171,896,0
41171,782,0
41171,893,0
41171,886,0
41171,959,0
41171,828,0
41171,897,0
41171,806,0
41171,937,0
41171,912,0
41171,938,0
41171,790,0
41171,923,0
41171,953,0
41171,919,0
41171,160,0
41171,932,0
41171,117,0
41171,834,0
41171,951,0
41171,945,0
41171,946,0
41171,974,0
41171,122,0
41171,864,0
41171,809,0
41171,957,0
41171,922,0
41171,126,0
41171,925,0
41171,127,0
41171,128,0
41171,913,0
41171,811,0
41171,857,0
41171,890,0
41171,785,2
41171,901,0
41171,931,0
41171,952,0
41171,770,0
41171,966,0
41171,130,2
41171,874,0
41171,924,0
41171,822,0
41171,135,0
41171,914,2
41171,958,0
41171,875,0
41171,955,0
41171,887,0
41171,960,0
41171,954,0
41171,947,0
41171,829,0
41171,154,0
41171,928,0
41171,155,0
41171,977,0
41171,927,0
41172,929,0
41172,840,0
41172,943,0
41172,2,0
41172,956,0
41172,851,0
41172,948,0
41172,772,0
41172,907,0
41172,972,0
41172,11,0
41172,918,0
41172,969,0
41172,894,0
41172,915,0
41172,18,0
41172,891,0
41172,900,0
41172,973,0
41172,908,0
41172,774,2
41172,791,0
41172,905,0
41172,934,0
41172,831,0
41172,30,0
41172,787,0
41172,842,0
41172,31,0
41172,939,0
41172,899,0
41172,965,0
41172,962,0
41172,776,0
41172,883,0
41172,961,0
41172,888,0
41172,885,0
41172,39,0
41172,41,2
41172,826,0
41172,889,0
41172,906,0
41172,950,0
41172,944,0
41172,970,0
41172,777,0
41172,940,0
41172,933,0
41172,818,0
41172,963,0
41172,884,0
41172,941,0
41172,926,0
41172,54,0
41172,930,0
41172,796,0
41172,61,0
41172,819,0
41172,920,0
41172,870,0
41172,788,0
