id,type,session_number,start_date
41302,ordinaria,37,2025-10-07 12:48:04
41303,ordinaria,38,2025-10-09 08:45:12
41304,ordinaria,39,2025-10-14 12:47:27
41305,ordinaria,40,2025-10-16 08:52:09
41306,ordinaria,41,2025-10-21 12:55:27
41307,ordinaria,42,2025-10-23 08:54:28
41308,ordinaria,43,2025-10-28 12:55:10
41310,ordinaria,44,2025-11-11 12:58:08
41311,ordinaria,45,2025-11-13 09:00:09
41313,ordinaria,46,2025-11-18 12:54:08
41314,ordinaria,47,2025-11-20 09:03:46
41318,ordinaria,48,2025-11-25 12:54:12
41319,ordinaria,49,2025-11-27 08:49:56
41320,extraordinaria,12,2025-12-02 12:52:32
41321,extraordinaria,13,2025-12-04 08:47:00
41322,extraordinaria,14,2026-01-13 12:54:32
41323,solemne,1,2026-01-14 08:57:08
41324,ordinaria,1,2026-01-19 12:52:53
41325,ordinaria,2,2026-01-20 01:01:58
41326,ordinaria,3,2026-01-22 08:59:42
41328,ordinaria,4,2026-01-27 01:02:00
41329,ordinaria,5,2026-01-29 08:42:56
41330,ordinaria,6,2026-02-03 12:50:35
41331,ordinaria,7,2026-02-05 08:59:26
41332,ordinaria,8,2026-02-10 12:59:08
41333,ordinaria,9,2026-02-12 10:46:20
41334,ordinaria,10,2026-02-17 12:51:30
41335,ordinaria,11,2026-02-19 08:42:31
41336,ordinaria,12,2026-02-24 12:51:15
41337,ordinaria,13,2026-02-26 08:55:07
41339,ordinaria,14,2026-03-05 09:02:54
41340,ordinaria,15,2026-03-10 12:50:49
41343,ordinaria,16,2026-03-12 08:55:59
41344,ordinaria,17,2026-03-17 01:00:37
41345,ordinaria,18,2026-03-19 08:59:38
